Vol(mV),Time(s),Relative Mois,Temperature(C)
502,970,0.387878788,-2.15
502,980,0.387878788,-1.66
502,990,0.387878788,-2.64
502,1000,0.387878788,-2.15
502,1010,0.387878788,-2.15
502,1020,0.387878788,-2.15
502,1030,0.387878788,-1.66
502,1040,0.387878788,-1.66
502,1050,0.387878788,-1.66
502,1060,0.387878788,-1.66
502,1070,0.387878788,-1.66
502,1080,0.387878788,-2.15
502,1090,0.387878788,-2.64
502,1100,0.387878788,-2.15
502,1110,0.387878788,-2.15
502,1120,0.387878788,-2.15
502,1130,0.387878788,-1.66
502,1140,0.387878788,-2.64
502,1150,0.387878788,-2.15
502,1160,0.387878788,-2.15
502,1170,0.387878788,-2.15
501,1180,0.390909091,-2.15
501,1190,0.390909091,-2.64
502,1200,0.387878788,-1.66
502,1210,0.387878788,-1.66
502,1220,0.387878788,-2.64
502,1230,0.387878788,-2.15
502,1240,0.387878788,-2.64
502,1250,0.387878788,-2.15
501,1260,0.390909091,-2.15
501,1270,0.390909091,-1.66
502,1280,0.387878788,-1.66
502,1290,0.387878788,-1.66
502,1300,0.387878788,-2.15
502,1310,0.387878788,-2.64
501,1320,0.390909091,-2.64
502,1330,0.387878788,-1.66
502,1340,0.387878788,-2.15
502,1350,0.387878788,-1.66
502,1360,0.387878788,-2.15
502,1370,0.387878788,-2.15
502,1380,0.387878788,-2.15
502,1390,0.387878788,-2.15
502,1400,0.387878788,-1.66
502,1410,0.387878788,-2.15
502,1420,0.387878788,-2.15
502,1430,0.387878788,-1.17
502,1440,0.387878788,-2.15
502,1450,0.387878788,-1.17
502,1460,0.387878788,-1.66
502,1470,0.387878788,-2.15
502,1480,0.387878788,-1.66
502,1490,0.387878788,-1.66
502,1500,0.387878788,-1.66
502,1510,0.387878788,-1.66
502,1520,0.387878788,-1.66
502,1530,0.387878788,-1.66
502,1540,0.387878788,-1.66
502,1550,0.387878788,-1.66
502,1560,0.387878788,-1.66
502,1570,0.387878788,-1.66
502,1580,0.387878788,-1.17
502,1590,0.387878788,-2.15
502,1600,0.387878788,-1.17
502,1610,0.387878788,-1.17
502,1620,0.387878788,-1.66
502,1630,0.387878788,-1.17
502,1640,0.387878788,-1.66
502,1650,0.387878788,-2.15
502,1660,0.387878788,-1.66
502,1670,0.387878788,-1.17
502,1680,0.387878788,-1.66
502,1690,0.387878788,-1.66
502,1700,0.387878788,-1.66
502,1710,0.387878788,-1.66
502,1720,0.387878788,-1.66
502,1730,0.387878788,-1.66
502,1740,0.387878788,-1.66
502,1750,0.387878788,-1.66
502,1760,0.387878788,-1.17
502,1770,0.387878788,-1.17
502,1780,0.387878788,-1.66
502,1790,0.387878788,-1.66
502,1800,0.387878788,-1.66
502,1810,0.387878788,-1.66
502,1820,0.387878788,-1.66
502,1830,0.387878788,-2.15
502,1840,0.387878788,-1.66
502,1850,0.387878788,-1.66
502,1860,0.387878788,-2.15
502,1870,0.387878788,-1.66
502,1880,0.387878788,-1.66
502,1890,0.387878788,-1.66
502,1900,0.387878788,-1.66
502,1910,0.387878788,-1.66
502,1920,0.387878788,-2.15
502,1930,0.387878788,-1.66
502,1940,0.387878788,-1.66
502,1950,0.387878788,-1.17
502,1960,0.387878788,-1.17
502,1970,0.387878788,-1.66
503,1980,0.384848485,-1.17
502,1990,0.387878788,-1.17
502,2000,0.387878788,-2.15
502,2010,0.387878788,-1.66
502,2020,0.387878788,-1.17
502,2030,0.387878788,-1.66
502,2040,0.387878788,-2.15
502,2050,0.387878788,-1.17
502,2060,0.387878788,-1.66
502,2070,0.387878788,-1.17
503,2080,0.384848485,-1.17
502,2090,0.387878788,-1.17
502,2100,0.387878788,-2.15
502,2110,0.387878788,-1.66
502,2120,0.387878788,-1.17
503,2130,0.384848485,-1.66
502,2140,0.387878788,-1.66
502,2150,0.387878788,-1.66
503,2160,0.384848485,-1.66
502,2170,0.387878788,-1.17
502,2180,0.387878788,-1.17
503,2190,0.384848485,-2.15
503,2200,0.384848485,-1.17
503,2210,0.384848485,-1.17
502,2220,0.387878788,-1.17
502,2230,0.387878788,-1.66
503,2240,0.384848485,-1.17
503,2250,0.384848485,-2.15
503,2260,0.384848485,-1.17
503,2270,0.384848485,-1.66
502,2280,0.387878788,-1.17
503,2290,0.384848485,-1.17
502,2300,0.387878788,-1.17
503,2310,0.384848485,-1.66
503,2320,0.384848485,-1.66
503,2330,0.384848485,-1.66
503,2340,0.384848485,-1.66
502,2350,0.387878788,-1.66
503,2360,0.384848485,-1.17
503,2370,0.384848485,-1.66
503,2380,0.384848485,-1.66
502,2390,0.387878788,-1.17
502,2400,0.387878788,-2.15
502,2410,0.387878788,-1.66
502,2420,0.387878788,-1.66
502,2430,0.387878788,-2.15
502,2440,0.387878788,-2.15
502,2450,0.387878788,-2.15
502,2460,0.387878788,-1.17
502,2470,0.387878788,-2.15
502,2480,0.387878788,-1.66
502,2490,0.387878788,-2.15
502,2500,0.387878788,-1.66
502,2510,0.387878788,-1.66
503,2520,0.384848485,-2.15
502,2530,0.387878788,-2.15
502,2540,0.387878788,-2.15
503,2550,0.384848485,-1.66
502,2560,0.387878788,-2.15
503,2570,0.384848485,-1.66
502,2580,0.387878788,-2.15
502,2590,0.387878788,-1.66
502,2600,0.387878788,-1.66
502,2610,0.387878788,-2.15
502,2620,0.387878788,-2.15
503,2630,0.384848485,-1.66
502,2640,0.387878788,-2.15
502,2650,0.387878788,-1.66
502,2660,0.387878788,-1.66
502,2670,0.387878788,-1.66
503,2680,0.384848485,-1.17
502,2690,0.387878788,-1.66
502,2700,0.387878788,-1.17
502,2710,0.387878788,-1.66
503,2720,0.384848485,-1.66
502,2730,0.387878788,-1.17
502,2740,0.387878788,-1.66
502,2750,0.387878788,-1.66
502,2760,0.387878788,-1.66
502,2770,0.387878788,-1.66
503,2780,0.384848485,-1.66
502,2790,0.387878788,-1.66
503,2800,0.384848485,-1.66
502,2810,0.387878788,-1.66
502,2820,0.387878788,-1.66
502,2830,0.387878788,-1.66
502,2840,0.387878788,-1.66
502,2850,0.387878788,-1.17
502,2860,0.387878788,-2.64
502,2870,0.387878788,-1.66
503,2880,0.384848485,-1.66
502,2890,0.387878788,-1.17
502,2900,0.387878788,-2.15
502,2910,0.387878788,-2.15
502,2920,0.387878788,-1.66
502,2930,0.387878788,-2.15
502,2940,0.387878788,-1.66
502,2950,0.387878788,-1.66
502,2960,0.387878788,-1.66
502,2970,0.387878788,-2.15
502,2980,0.387878788,-1.66
502,2990,0.387878788,-1.66
502,3000,0.387878788,-1.66
502,3010,0.387878788,-2.15
502,3020,0.387878788,-1.66
502,3030,0.387878788,-2.15
502,3040,0.387878788,-1.66
502,3050,0.387878788,-1.66
502,3060,0.387878788,-2.15
502,3070,0.387878788,-2.15
502,3080,0.387878788,-1.66
502,3090,0.387878788,-2.15
502,3100,0.387878788,-1.66
502,3110,0.387878788,-1.66
502,3120,0.387878788,-2.64
502,3130,0.387878788,-2.15
502,3140,0.387878788,-2.15
502,3150,0.387878788,-1.66
502,3160,0.387878788,-1.66
502,3170,0.387878788,-1.66
502,3180,0.387878788,-1.66
502,3190,0.387878788,-1.66
502,3200,0.387878788,-2.15
502,3210,0.387878788,-2.15
502,3220,0.387878788,-1.66
502,3230,0.387878788,-1.66
503,3240,0.384848485,-1.66
503,3250,0.384848485,-1.66
502,3260,0.387878788,-1.17
502,3270,0.387878788,-2.15
502,3280,0.387878788,-2.15
502,3290,0.387878788,-1.66
503,3300,0.384848485,-1.66
502,3310,0.387878788,-1.17
502,3320,0.387878788,-2.15
503,3330,0.384848485,-1.66
503,3340,0.384848485,-1.17
502,3350,0.387878788,-2.15
502,3360,0.387878788,-1.66
502,3370,0.387878788,-1.66
502,3380,0.387878788,-1.66
502,3390,0.387878788,-2.15
502,3400,0.387878788,-2.64
502,3410,0.387878788,-2.15
503,3420,0.384848485,-2.15
502,3430,0.387878788,-1.66
502,3440,0.387878788,-1.66
502,3450,0.387878788,-1.66
502,3460,0.387878788,-1.66
502,3470,0.387878788,-1.66
502,3480,0.387878788,-1.66
502,3490,0.387878788,-1.66
502,3500,0.387878788,-2.15
502,3510,0.387878788,-1.17
502,3520,0.387878788,-1.17
502,3530,0.387878788,-1.17
502,3540,0.387878788,-1.17
502,3550,0.387878788,-1.66
502,3560,0.387878788,-2.15
502,3570,0.387878788,-2.15
502,3580,0.387878788,-2.15
502,3590,0.387878788,-1.66
502,3600,0.387878788,-2.15
502,3610,0.387878788,-1.66
502,3620,0.387878788,-2.15
502,3630,0.387878788,-1.66
502,3640,0.387878788,-2.15
502,3650,0.387878788,-1.66
502,3660,0.387878788,-1.17
502,3670,0.387878788,-1.66
502,3680,0.387878788,-2.15
502,3690,0.387878788,-2.15
502,3700,0.387878788,-2.15
502,3710,0.387878788,-2.15
502,3720,0.387878788,-2.15
502,3730,0.387878788,-2.15
502,3740,0.387878788,-2.15
502,3750,0.387878788,-2.64
502,3760,0.387878788,-2.15
502,3770,0.387878788,-1.66
502,3780,0.387878788,-1.66
502,3790,0.387878788,-1.66
502,3800,0.387878788,-2.15
502,3810,0.387878788,-1.66
502,3820,0.387878788,-1.66
502,3830,0.387878788,-2.15
502,3840,0.387878788,-1.66
502,3850,0.387878788,-1.66
502,3860,0.387878788,-1.66
502,3870,0.387878788,-1.66
502,3880,0.387878788,-1.66
502,3890,0.387878788,-1.66
502,3900,0.387878788,-2.15
502,3910,0.387878788,-1.66
502,3920,0.387878788,-1.66
503,3930,0.384848485,-1.66
502,3940,0.387878788,-1.66
502,3950,0.387878788,-2.15
503,3960,0.384848485,-2.15
502,3970,0.387878788,-2.15
502,3980,0.387878788,-1.66
502,3990,0.387878788,-2.15
502,4000,0.387878788,-1.66
502,4010,0.387878788,-1.66
502,4020,0.387878788,-1.17
502,4030,0.387878788,-1.17
502,4040,0.387878788,-1.17
502,4050,0.387878788,-2.15
502,4060,0.387878788,-1.66
502,4070,0.387878788,-1.66
502,4080,0.387878788,-2.15
502,4090,0.387878788,-2.15
502,4100,0.387878788,-1.66
502,4110,0.387878788,-2.15
502,4120,0.387878788,-1.66
502,4130,0.387878788,-2.15
502,4140,0.387878788,-2.15
502,4150,0.387878788,-2.15
502,4160,0.387878788,-2.15
502,4170,0.387878788,-1.66
502,4180,0.387878788,-1.66
502,4190,0.387878788,-1.66
502,4200,0.387878788,-2.15
502,4210,0.387878788,-2.15
502,4220,0.387878788,-1.66
502,4230,0.387878788,-1.66
502,4240,0.387878788,-1.66
502,4250,0.387878788,-2.64
502,4260,0.387878788,-2.15
502,4270,0.387878788,-2.64
502,4280,0.387878788,-1.66
502,4290,0.387878788,-2.15
502,4300,0.387878788,-2.15
502,4310,0.387878788,-1.66
502,4320,0.387878788,-2.15
502,4330,0.387878788,-2.64
502,4340,0.387878788,-1.66
502,4350,0.387878788,-3.12
502,4360,0.387878788,-2.64
502,4370,0.387878788,-2.15
502,4380,0.387878788,-2.64
502,4390,0.387878788,-2.15
502,4400,0.387878788,-1.66
502,4410,0.387878788,-2.15
502,4420,0.387878788,-2.15
502,4430,0.387878788,-2.15
502,4440,0.387878788,-2.64
502,4450,0.387878788,-2.64
502,4460,0.387878788,-2.15
502,4470,0.387878788,-2.15
502,4480,0.387878788,-1.66
502,4490,0.387878788,-2.15
502,4500,0.387878788,-2.15
502,4510,0.387878788,-1.66
502,4520,0.387878788,-2.15
502,4530,0.387878788,-2.15
502,4540,0.387878788,-1.66
502,4550,0.387878788,-1.66
502,4560,0.387878788,-2.64
502,4570,0.387878788,-2.15
502,4580,0.387878788,-1.66
502,4590,0.387878788,-1.66
502,4600,0.387878788,-1.66
502,4610,0.387878788,-1.66
502,4620,0.387878788,-1.66
502,4630,0.387878788,-2.64
502,4640,0.387878788,-2.64
502,4650,0.387878788,-2.15
502,4660,0.387878788,-1.66
503,4670,0.384848485,-1.66
502,4680,0.387878788,-1.66
502,4690,0.387878788,-2.64
502,4700,0.387878788,-1.66
502,4710,0.387878788,-2.15
502,4720,0.387878788,-2.64
502,4730,0.387878788,-2.15
502,4740,0.387878788,-2.64
502,4750,0.387878788,-1.66
502,4760,0.387878788,-1.17
502,4770,0.387878788,-2.15
502,4780,0.387878788,-1.66
502,4790,0.387878788,-1.66
502,4800,0.387878788,-2.15
502,4810,0.387878788,-1.66
502,4820,0.387878788,-1.66
503,4830,0.384848485,-1.66
502,4840,0.387878788,-1.66
502,4850,0.387878788,-2.15
502,4860,0.387878788,-1.66
502,4870,0.387878788,-1.66
502,4880,0.387878788,-2.15
502,4890,0.387878788,-1.66
502,4900,0.387878788,-1.66
502,4910,0.387878788,-1.66
502,4920,0.387878788,-1.66
502,4930,0.387878788,-1.66
502,4940,0.387878788,-2.15
502,4950,0.387878788,-2.64
502,4960,0.387878788,-2.15
502,4970,0.387878788,-2.15
502,4980,0.387878788,-1.66
502,4990,0.387878788,-2.15
502,5000,0.387878788,-2.64
502,5010,0.387878788,-2.15
502,5020,0.387878788,-1.66
501,5030,0.390909091,-2.15
502,5040,0.387878788,-2.15
502,5050,0.387878788,-1.66
502,5060,0.387878788,-1.66
502,5070,0.387878788,-2.15
502,5080,0.387878788,-2.15
502,5090,0.387878788,-1.66
502,5100,0.387878788,-2.15
502,5110,0.387878788,-2.15
502,5120,0.387878788,-1.66
502,5130,0.387878788,-2.15
502,5140,0.387878788,-2.15
502,5150,0.387878788,-1.66
502,5160,0.387878788,-2.15
502,5170,0.387878788,-1.66
502,5180,0.387878788,-2.64
502,5190,0.387878788,-1.66
502,5200,0.387878788,-1.66
503,5210,0.384848485,-1.66
502,5220,0.387878788,-2.15
502,5230,0.387878788,-1.66
502,5240,0.387878788,-1.66
502,5250,0.387878788,-2.15
502,5260,0.387878788,-1.66
502,5270,0.387878788,-2.64
502,5280,0.387878788,-2.15
502,5290,0.387878788,-2.15
503,5300,0.384848485,-1.66
502,5310,0.387878788,-2.15
503,5320,0.384848485,-1.66
502,5330,0.387878788,-2.15
503,5340,0.384848485,-1.66
502,5350,0.387878788,-1.66
502,5360,0.387878788,-1.66
503,5370,0.384848485,-1.66
502,5380,0.387878788,-1.66
502,5390,0.387878788,-1.66
502,5400,0.387878788,-1.66
502,5410,0.387878788,-2.15
502,5420,0.387878788,-2.15
502,5430,0.387878788,-2.15
502,5440,0.387878788,-2.15
502,5450,0.387878788,-1.66
502,5460,0.387878788,-1.66
503,5470,0.384848485,-2.64
502,5480,0.387878788,-2.15
502,5490,0.387878788,-2.15
502,5500,0.387878788,-1.66
503,5510,0.384848485,-1.17
502,5520,0.387878788,-1.17
502,5530,0.387878788,-1.17
502,5540,0.387878788,-1.17
503,5550,0.384848485,-1.66
502,5560,0.387878788,-1.17
502,5570,0.387878788,-1.17
502,5580,0.387878788,-1.66
502,5590,0.387878788,-1.66
502,5600,0.387878788,-2.15
502,5610,0.387878788,-1.66
502,5620,0.387878788,-1.66
502,5630,0.387878788,-2.15
502,5640,0.387878788,-2.15
502,5650,0.387878788,-1.66
502,5660,0.387878788,-1.66
502,5670,0.387878788,-2.64
502,5680,0.387878788,-1.66
502,5690,0.387878788,-1.66
502,5700,0.387878788,-1.66
502,5710,0.387878788,-2.64
502,5720,0.387878788,-1.66
502,5730,0.387878788,-2.64
502,5740,0.387878788,-1.66
502,5750,0.387878788,-2.15
502,5760,0.387878788,-1.66
502,5770,0.387878788,-2.15
502,5780,0.387878788,-2.15
502,5790,0.387878788,-2.15
502,5800,0.387878788,-2.15
502,5810,0.387878788,-2.15
502,5820,0.387878788,-1.66
502,5830,0.387878788,-2.15
502,5840,0.387878788,-1.66
502,5850,0.387878788,-2.15
502,5860,0.387878788,-2.15
502,5870,0.387878788,-1.66
502,5880,0.387878788,-1.66
502,5890,0.387878788,-2.15
502,5900,0.387878788,-1.66
502,5910,0.387878788,-1.17
502,5920,0.387878788,-1.66
502,5930,0.387878788,-2.15
502,5940,0.387878788,-1.17
503,5950,0.384848485,-2.15
502,5960,0.387878788,-1.66
502,5970,0.387878788,-1.66
502,5980,0.387878788,-1.66
502,5990,0.387878788,-2.15
502,6000,0.387878788,-2.15
503,6010,0.384848485,-1.17
502,6020,0.387878788,-1.66
502,6030,0.387878788,-2.15
502,6040,0.387878788,-1.66
502,6050,0.387878788,-1.66
502,6060,0.387878788,-1.66
502,6070,0.387878788,-1.66
502,6080,0.387878788,-1.66
502,6090,0.387878788,-1.17
503,6100,0.384848485,-1.17
502,6110,0.387878788,-1.17
502,6120,0.387878788,-1.17
502,6130,0.387878788,-1.66
502,6140,0.387878788,-1.66
503,6150,0.384848485,-1.66
502,6160,0.387878788,-1.17
502,6170,0.387878788,-1.66
503,6180,0.384848485,-1.66
502,6190,0.387878788,-2.15
502,6200,0.387878788,-2.15
503,6210,0.384848485,-1.66
503,6220,0.384848485,-1.17
503,6230,0.384848485,-1.66
502,6240,0.387878788,-1.66
503,6250,0.384848485,-2.15
502,6260,0.387878788,-1.17
502,6270,0.387878788,-1.66
502,6280,0.387878788,-1.66
503,6290,0.384848485,-2.15
502,6300,0.387878788,-1.66
502,6310,0.387878788,-1.17
502,6320,0.387878788,-1.66
503,6330,0.384848485,-1.66
503,6340,0.384848485,-1.66
502,6350,0.387878788,-1.17
502,6360,0.387878788,-1.17
502,6370,0.387878788,-1.17
502,6380,0.387878788,-1.66
502,6390,0.387878788,-1.17
502,6400,0.387878788,-1.17
502,6410,0.387878788,-1.17
503,6420,0.384848485,-1.17
503,6430,0.384848485,-1.66
503,6440,0.384848485,-1.17
502,6450,0.387878788,-2.15
503,6460,0.384848485,-1.66
502,6470,0.387878788,-2.15
502,6480,0.387878788,-1.66
502,6490,0.387878788,-1.66
502,6500,0.387878788,-1.66
503,6510,0.384848485,-1.17
502,6520,0.387878788,-1.17
502,6530,0.387878788,-2.15
502,6540,0.387878788,-1.17
503,6550,0.384848485,-1.17
502,6560,0.387878788,-1.66
502,6570,0.387878788,-2.15
503,6580,0.384848485,-1.66
502,6590,0.387878788,-1.17
502,6600,0.387878788,-1.66
502,6610,0.387878788,-2.15
502,6620,0.387878788,-1.66
503,6630,0.384848485,-1.17
502,6640,0.387878788,-1.66
503,6650,0.384848485,-1.66
502,6660,0.387878788,-1.66
502,6670,0.387878788,-1.66
503,6680,0.384848485,-2.15
502,6690,0.387878788,-1.17
503,6700,0.384848485,-2.15
503,6710,0.384848485,-1.66
502,6720,0.387878788,-1.17
502,6730,0.387878788,-1.66
502,6740,0.387878788,-1.66
502,6750,0.387878788,-2.15
502,6760,0.387878788,-1.66
502,6770,0.387878788,-1.66
502,6780,0.387878788,-2.15
502,6790,0.387878788,-1.17
502,6800,0.387878788,-1.17
502,6810,0.387878788,-1.66
502,6820,0.387878788,-1.17
502,6830,0.387878788,-2.15
502,6840,0.387878788,-1.66
502,6850,0.387878788,-2.15
502,6860,0.387878788,-2.15
502,6870,0.387878788,-2.15
502,6880,0.387878788,-1.17
502,6890,0.387878788,-1.66
502,6900,0.387878788,-1.66
502,6910,0.387878788,-2.15
502,6920,0.387878788,-2.15
502,6930,0.387878788,-2.15
502,6940,0.387878788,-1.66
502,6950,0.387878788,-1.66
502,6960,0.387878788,-2.15
502,6970,0.387878788,-1.17
502,6980,0.387878788,-1.17
502,6990,0.387878788,-1.17
502,7000,0.387878788,-1.66
502,7010,0.387878788,-2.15
502,7020,0.387878788,-1.17
502,7030,0.387878788,-0.68
502,7040,0.387878788,-1.66
502,7050,0.387878788,-1.66
502,7060,0.387878788,-1.17
502,7070,0.387878788,-1.17
502,7080,0.387878788,-1.66
503,7090,0.384848485,-1.17
503,7100,0.384848485,-1.66
502,7110,0.387878788,-1.17
503,7120,0.384848485,-1.17
502,7130,0.387878788,-1.17
502,7140,0.387878788,-1.17
502,7150,0.387878788,-1.66
502,7160,0.387878788,-1.17
502,7170,0.387878788,-1.17
502,7180,0.387878788,-2.15
502,7190,0.387878788,-1.66
502,7200,0.387878788,-1.66
502,7210,0.387878788,-1.17
502,7220,0.387878788,-1.66
502,7230,0.387878788,-1.17
502,7240,0.387878788,-1.66
502,7250,0.387878788,-1.17
502,7260,0.387878788,-1.66
502,7270,0.387878788,-1.66
502,7280,0.387878788,-2.15
502,7290,0.387878788,-1.66
502,7300,0.387878788,-1.66
502,7310,0.387878788,-1.17
502,7320,0.387878788,-1.17
502,7330,0.387878788,-1.66
502,7340,0.387878788,-1.17
503,7350,0.384848485,-1.17
502,7360,0.387878788,-1.17
502,7370,0.387878788,-2.15
502,7380,0.387878788,-1.66
502,7390,0.387878788,-1.17
502,7400,0.387878788,-1.17
502,7410,0.387878788,-2.15
502,7420,0.387878788,-1.66
502,7430,0.387878788,-1.17
502,7440,0.387878788,-1.17
502,7450,0.387878788,-1.66
502,7460,0.387878788,-1.17
502,7470,0.387878788,-1.17
502,7480,0.387878788,-1.17
502,7490,0.387878788,-1.17
502,7500,0.387878788,-1.17
502,7510,0.387878788,-1.17
502,7520,0.387878788,-1.66
502,7530,0.387878788,-1.17
502,7540,0.387878788,-1.66
502,7550,0.387878788,-1.66
502,7560,0.387878788,-1.17
502,7570,0.387878788,-1.17
502,7580,0.387878788,-1.66
502,7590,0.387878788,-1.17
502,7600,0.387878788,-1.17
502,7610,0.387878788,-1.17
502,7620,0.387878788,-1.17
502,7630,0.387878788,-1.66
503,7640,0.384848485,-1.66
502,7650,0.387878788,-2.15
502,7660,0.387878788,-1.66
502,7670,0.387878788,-1.17
502,7680,0.387878788,-1.17
502,7690,0.387878788,-1.66
502,7700,0.387878788,-1.17
502,7710,0.387878788,-0.68
502,7720,0.387878788,-1.17
502,7730,0.387878788,-1.17
502,7740,0.387878788,-1.17
502,7750,0.387878788,-1.66
502,7760,0.387878788,-1.17
502,7770,0.387878788,-0.68
502,7780,0.387878788,-0.68
503,7790,0.384848485,-1.66
502,7800,0.387878788,-1.17
502,7810,0.387878788,-1.66
502,7820,0.387878788,-1.66
502,7830,0.387878788,-1.66
502,7840,0.387878788,-1.66
502,7850,0.387878788,-0.68
503,7860,0.384848485,-2.15
503,7870,0.384848485,-1.17
503,7880,0.384848485,-1.66
502,7890,0.387878788,-1.66
502,7900,0.387878788,-0.68
502,7910,0.387878788,-0.68
502,7920,0.387878788,-1.66
502,7930,0.387878788,-1.17
502,7940,0.387878788,-0.68
502,7950,0.387878788,-0.68
502,7960,0.387878788,-0.68
502,7970,0.387878788,-1.66
502,7980,0.387878788,-1.17
502,7990,0.387878788,-1.17
502,8000,0.387878788,-1.66
503,8010,0.384848485,-1.17
503,8020,0.384848485,-1.66
502,8030,0.387878788,-1.66
502,8040,0.387878788,-1.17
502,8050,0.387878788,-1.17
503,8060,0.384848485,-1.17
502,8070,0.387878788,-0.68
503,8080,0.384848485,-1.17
503,8090,0.384848485,-0.68
502,8100,0.387878788,-1.17
503,8110,0.384848485,-1.17
502,8120,0.387878788,-0.68
503,8130,0.384848485,-0.68
502,8140,0.387878788,-1.66
502,8150,0.387878788,-0.68
502,8160,0.387878788,-0.68
503,8170,0.384848485,-0.68
503,8180,0.384848485,-1.17
503,8190,0.384848485,-1.66
502,8200,0.387878788,-0.68
502,8210,0.387878788,-0.68
503,8220,0.384848485,-1.17
502,8230,0.387878788,-0.68
502,8240,0.387878788,-0.68
503,8250,0.384848485,-0.68
503,8260,0.384848485,-0.68
502,8270,0.387878788,-1.17
503,8280,0.384848485,-1.17
503,8290,0.384848485,-0.68
502,8300,0.387878788,-1.17
503,8310,0.384848485,-1.66
502,8320,0.387878788,-0.68
503,8330,0.384848485,-1.17
502,8340,0.387878788,-0.68
502,8350,0.387878788,-0.68
502,8360,0.387878788,-1.17
503,8370,0.384848485,-1.17
503,8380,0.384848485,-0.68
503,8390,0.384848485,-1.17
502,8400,0.387878788,-0.68
503,8410,0.384848485,-1.17
502,8420,0.387878788,-0.68
503,8430,0.384848485,-1.17
503,8440,0.384848485,-0.68
502,8450,0.387878788,-1.17
502,8460,0.387878788,-0.68
503,8470,0.384848485,-0.68
502,8480,0.387878788,-1.17
502,8490,0.387878788,-0.68
502,8500,0.387878788,-0.68
503,8510,0.384848485,-0.68
503,8520,0.384848485,-0.68
503,8530,0.384848485,-0.68
502,8540,0.387878788,-0.68
503,8550,0.384848485,-0.68
503,8560,0.384848485,-1.17
502,8570,0.387878788,-0.68
502,8580,0.387878788,-1.17
502,8590,0.387878788,-0.68
503,8600,0.384848485,-1.17
502,8610,0.387878788,-0.68
502,8620,0.387878788,-1.66
502,8630,0.387878788,-1.17
503,8640,0.384848485,-1.66
503,8650,0.384848485,-0.68
502,8660,0.387878788,-1.17
503,8670,0.384848485,-1.17
503,8680,0.384848485,-0.68
503,8690,0.384848485,-1.66
503,8700,0.384848485,-1.17
503,8710,0.384848485,-1.66
503,8720,0.384848485,-1.17
503,8730,0.384848485,-0.68
503,8740,0.384848485,-0.68
503,8750,0.384848485,-0.68
503,8760,0.384848485,-0.68
503,8770,0.384848485,-1.17
